major_category,subcategory,rule_count,mean_score,std_score,rule_quartile,mean_quartile
Development Workflow & Project Management,Workflow Conventions,679.0,3.778,1.133,4,1
Quality Assurance,Testing Strategy,640.0,3.828,1.083,4,2
Architecture & Design,Technology Stack Selections,515.0,4.152,0.978,4,4
Development Workflow & Project Management,Project Documentation,497.0,4.121,0.977,4,4
Architecture & Design,Design Principles & Patterns,493.0,4.061,0.993,4,3
Code Implementation,Framework Usage,448.0,4.03,0.948,4,3
AI Collaboration Specifications,AI Behavior & Decision Strategies,414.0,3.99,1.059,3,3
Code Implementation,Code Style Conventions,407.0,3.818,1.298,3,2
Code Implementation,Performance Optimization,330.0,3.778,1.211,3,1
Quality Assurance,Security Practices,290.0,3.889,1.136,3,2
Development Workflow & Project Management,Directory Structure,288.0,4.02,1.119,3,3
Code Implementation,Language Features,273.0,3.889,1.18,3,2
Code Implementation,Error & Exception Handling,255.0,4.0,1.035,2,3
Quality Assurance,Code Quality Standards,254.0,3.929,1.085,2,2
AI Collaboration Specifications,AI Output Content Guidelines,218.0,3.606,1.309,2,1
Code Implementation,Business Logic,208.0,4.141,1.073,2,4
Architecture & Design,System Architecture,195.0,4.253,0.988,2,4
Development Workflow & Project Management,Environment Configuration,174.0,3.727,1.229,2,1
Development Workflow & Project Management,Version Control,157.0,3.747,1.201,1,1
Architecture & Design,Design References & Constraints,153.0,4.192,0.939,1,4
AI Collaboration Specifications,AI Context Management,129.0,4.172,1.054,1,4
Development Workflow & Project Management,Dependency Management,103.0,3.798,1.11,1,2
AI Collaboration Specifications,AI Tool Usage,79.0,4.03,1.176,1,3
Quality Assurance,Logging Standards,58.0,3.646,1.166,1,1
Quality Assurance,Code Review,53.0,3.646,1.2,1,1
