major_category,subcategory,rule_count,rule_pct,score_1_count,score_2_count,score_3_count,score_4_count,score_5_count,total_responses,mean_score,std_score,major_score_1_count,major_score_2_count,major_score_3_count,major_score_4_count,major_score_5_count,major_total_responses,major_mean_score,major_std_score,rule_count_pct
Architecture & Design,Technology Stack Selections,515,7.04514363885089,1,5,20,25,48,99,4.152,0.978,8,15,69,116,188,396,4.164,0.977,"515, 7.05%"
Architecture & Design,Design Principles & Patterns,493,6.744186046511628,2,5,19,32,41,99,4.061,0.993,8,15,69,116,188,396,4.164,0.977,"493, 6.74%"
Architecture & Design,System Architecture,195,2.667578659370725,3,2,15,26,53,99,4.253,0.988,8,15,69,116,188,396,4.164,0.977,"195, 2.67%"
Architecture & Design,Design References & Constraints,153,2.0930232558139537,2,3,15,33,46,99,4.192,0.939,8,15,69,116,188,396,4.164,0.977,"153, 2.09%"
Code Implementation,Framework Usage,448,6.12859097127223,1,5,22,33,38,99,4.03,0.948,28,42,108,174,242,594,3.943,1.137,"448, 6.13%"
Code Implementation,Code Style Conventions,407,5.567715458276334,10,5,19,24,41,99,3.818,1.298,28,42,108,174,242,594,3.943,1.137,"407, 5.57%"
Code Implementation,Performance Optimization,330,4.514363885088919,5,14,14,31,35,99,3.778,1.211,28,42,108,174,242,594,3.943,1.137,"330, 4.51%"
Code Implementation,Language Features,273,3.734610123119015,7,6,15,34,37,99,3.889,1.18,28,42,108,174,242,594,3.943,1.137,"273, 3.73%"
Code Implementation,Error & Exception Handling,255,3.488372093023256,1,9,20,28,41,99,4.0,1.035,28,42,108,174,242,594,3.943,1.137,"255, 3.49%"
Code Implementation,Business Logic,208,2.8454172366621067,4,3,18,24,50,99,4.141,1.073,28,42,108,174,242,594,3.943,1.137,"208, 2.85%"
Development Workflow & Project Management,Workflow Conventions,679,9.288645690834475,6,5,26,30,32,99,3.778,1.133,24,57,117,173,223,594,3.865,1.141,"679, 9.29%"
Development Workflow & Project Management,Project Documentation,497,6.79890560875513,2,4,18,31,44,99,4.121,0.977,24,57,117,173,223,594,3.865,1.141,"497, 6.80%"
Development Workflow & Project Management,Directory Structure,288,3.9398084815321477,3,9,16,26,45,99,4.02,1.119,24,57,117,173,223,594,3.865,1.141,"288, 3.94%"
Development Workflow & Project Management,Environment Configuration,174,2.3803009575923393,4,17,17,25,36,99,3.727,1.229,24,57,117,173,223,594,3.865,1.141,"174, 2.38%"
Development Workflow & Project Management,Version Control,157,2.1477428180574556,6,10,21,28,34,99,3.747,1.201,24,57,117,173,223,594,3.865,1.141,"157, 2.15%"
Development Workflow & Project Management,Dependency Management,103,1.4090287277701778,3,12,19,33,32,99,3.798,1.11,24,57,117,173,223,594,3.865,1.141,"103, 1.41%"
Quality Assurance,Testing Strategy,640,8.755129958960328,4,7,23,33,32,99,3.828,1.083,26,40,110,156,163,495,3.788,1.141,"640, 8.76%"
Quality Assurance,Security Practices,290,3.9671682626538987,5,6,22,28,38,99,3.889,1.136,26,40,110,156,163,495,3.788,1.141,"290, 3.97%"
Quality Assurance,Code Quality Standards,254,3.4746922024623803,3,9,17,33,37,99,3.929,1.085,26,40,110,156,163,495,3.788,1.141,"254, 3.47%"
Quality Assurance,Logging Standards,58,0.7934336525307797,7,8,25,32,27,99,3.646,1.166,26,40,110,156,163,495,3.788,1.141,"58, 0.79%"
Quality Assurance,Code Review,53,0.7250341997264022,7,10,23,30,29,99,3.646,1.2,26,40,110,156,163,495,3.788,1.141,"53, 0.73%"
AI Collaboration Specifications,AI Behavior & Decision Strategies,414,5.663474692202462,4,5,17,35,38,99,3.99,1.059,23,26,67,112,168,396,3.949,1.173,"414, 5.66%"
AI Collaboration Specifications,AI Output Content Guidelines,218,2.982216142270862,11,8,22,26,32,99,3.606,1.309,23,26,67,112,168,396,3.949,1.173,"218, 2.98%"
AI Collaboration Specifications,AI Context Management,129,1.7647058823529411,4,3,15,27,50,99,4.172,1.054,23,26,67,112,168,396,3.949,1.173,"129, 1.76%"
AI Collaboration Specifications,AI Tool Usage,79,1.0807113543091655,4,10,13,24,48,99,4.03,1.176,23,26,67,112,168,396,3.949,1.173,"79, 1.08%"
