second_level,总数,Expansion,Context Enrichment,Synchronization,Refinement,Correction,Pruning
AI Behavior & Decision Strategies,28,7.14,3.57,3.57,46.43,35.71,3.57
AI Context Management,14,42.86,28.57,7.14,21.43,0.0,0.0
AI Output Content Guidelines,10,30.0,10.0,10.0,40.0,10.0,0.0
AI Tool Usage,3,0.0,100.0,0.0,0.0,0.0,0.0
Business Logic,28,60.71,7.14,28.57,0.0,0.0,3.57
Code Quality Standards,6,50.0,16.67,0.0,33.33,0.0,0.0
Code Review,3,0.0,0.0,0.0,66.67,33.33,0.0
Code Style Conventions,22,31.82,13.64,27.27,22.73,4.55,0.0
Dependency Management,5,20.0,40.0,40.0,0.0,0.0,0.0
Design Principles & Patterns,26,38.46,19.23,11.54,23.08,7.69,0.0
Design References & Constraints,11,36.36,27.27,18.18,18.18,0.0,0.0
Directory Structure,41,26.83,7.32,48.78,9.76,2.44,4.88
Environment Configuration,13,15.38,53.85,23.08,7.69,0.0,0.0
Error & Exception Handling,9,22.22,33.33,33.33,11.11,0.0,0.0
Framework Usage,45,46.67,15.56,13.33,11.11,11.11,2.22
Language Features,7,14.29,14.29,42.86,28.57,0.0,0.0
Project Documentation,21,9.52,66.67,9.52,14.29,0.0,0.0
Security Practices,2,100.0,0.0,0.0,0.0,0.0,0.0
System Architecture,32,37.5,37.5,25.0,0.0,0.0,0.0
Technology Stack Selections,66,25.76,36.36,19.7,12.12,3.03,3.03
Testing Strategy,35,20.0,22.86,25.71,22.86,2.86,5.71
Version Control,21,33.33,38.1,0.0,23.81,4.76,0.0
Workflow Conventions,56,17.86,39.29,3.57,26.79,12.5,0.0
